City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,goundam,16.4145,-3.6708,97.56,19,98,3.0,ML,1728599612
311,gurupa,-1.405,-51.64,84.79,52,75,5.57,BR,1728599615
312,alto araguaia,-17.3147,-53.2153,83.73,43,72,9.48,BR,1728599616
313,susuman,62.7833,148.1667,10.13,87,59,2.44,RU,1728599607
314,rapid valley,44.0625,-103.1463,79.0,20,20,20.71,US,1728599619
315,inderbor,48.55,51.7833,49.15,59,4,12.82,KZ,1728599620
316,bozeman,45.6796,-111.0386,62.2,49,75,3.44,US,1728599419
317,nur-sultan,51.1801,71.446,42.75,81,0,8.95,KZ,1728599524
318,tual,-5.6667,132.75,81.64,83,97,17.38,ID,1728599623
319,sao gabriel da cachoeira,-0.1303,-67.0892,87.6,74,20,2.3,BR,1728599624
320,medicine hat,50.0501,-110.6683,60.22,45,75,4.61,CA,1728599401
321,sambava,-14.2667,50.1667,70.95,79,33,13.91,MG,1728599627
322,reyes,-14.3167,-67.3833,91.56,49,61,11.5,BO,1728599628
323,iskateley,67.6803,53.1512,27.03,69,100,15.08,RU,1728599629
324,kerikeri,-35.2268,173.9474,61.12,48,90,5.84,NZ,1728599521
325,shahrinav,38.5709,68.335,62.73,47,10,7.27,TJ,1728599631
326,helensburgh,56.0061,-4.7265,41.94,87,62,4.14,GB,1728599632
327,holualoa,19.6228,-155.9522,80.44,80,0,9.22,US,1728599635
328,san luis de la loma,17.2706,-100.8939,79.63,86,89,2.98,MX,1728599636
329,hilo,19.7297,-155.09,82.13,76,75,9.22,US,1728599637
330,lengshuitan,26.4111,111.5956,66.56,63,71,1.07,CN,1728599638
331,macau,22.2006,113.5461,77.72,88,40,6.91,MO,1728599639
332,tortoli,39.9256,9.6572,68.14,56,20,25.32,IT,1728599641
333,pingliang,35.5392,106.6861,50.22,72,100,1.61,CN,1728599642
334,markaz-e hukumat-e darweshan,31.1323,64.1934,65.48,23,0,1.39,AF,1728599611
335,eskisehir,39.7767,30.5206,57.11,72,75,2.3,TR,1728599644
336,askoy,60.4092,5.226,41.29,81,40,4.61,NO,1728599645
337,hanzhong,33.0728,107.0303,60.06,70,100,2.73,CN,1728599646
338,staroaleyskoye,51.0061,82.0,50.41,66,24,5.48,RU,1728599648
339,dologon,7.8408,125.0444,75.27,91,69,0.4,PH,1728599649
340,traverse city,44.7631,-85.6206,59.02,59,12,4.05,US,1728599636
341,zhaoyuan,37.3592,120.3964,52.75,70,0,2.08,CN,1728599651
342,luorong,24.4058,109.6086,68.13,60,50,2.48,CN,1728599652
343,somerset east,-32.7217,25.588,62.55,72,96,2.44,ZA,1728599653
344,carnarvon,-24.8667,113.6333,73.54,60,0,4.9,AU,1728599655
345,solnechnyy,50.7214,136.6319,41.97,81,100,7.63,RU,1728599656
346,selfoss,63.9331,-20.9971,34.05,72,1,11.03,IS,1728599657
347,nogliki,51.8333,143.1667,44.91,73,100,10.49,RU,1728599658
348,lae,-6.7221,146.9847,80.35,69,72,2.95,PG,1728599659
349,kuloy,61.0305,42.4925,36.3,75,100,12.1,RU,1728599662
350,kavaratti,10.5669,72.642,78.69,89,100,17.2,IN,1728599663
351,cabo san lucas,22.8909,-109.9124,88.11,66,20,8.05,MX,1728599664
352,mikhaylovskoye,51.8239,79.7172,45.09,54,99,13.85,RU,1728599665
353,yantongshan,43.2919,126.0094,43.02,80,1,6.08,CN,1728599666
354,mancio lima,-7.6142,-72.8958,73.47,94,75,5.75,BR,1728599667
355,tamanrasset,22.785,5.5228,78.71,24,40,3.44,DZ,1728599668
356,jamestown,42.097,-79.2353,49.64,66,0,6.91,US,1728599670
357,vorkuta,67.5,64.0,14.41,98,56,1.74,RU,1728599671
358,shizunai-furukawacho,42.3339,142.3669,53.33,65,53,2.57,JP,1728599672
359,muynoq,43.7683,59.0214,57.83,63,75,9.64,UZ,1728599673
360,sovetskaya gavan',48.9723,140.2878,51.62,69,100,11.32,RU,1728599674
361,kasane,-17.8167,25.15,66.52,28,1,4.18,BW,1728599675
362,bluefields,12.0137,-83.7635,84.27,79,40,6.91,NI,1728599545
363,mariental,-24.6333,17.9667,76.89,15,0,5.66,NA,1728599678
364,walvis bay,-22.9575,14.5053,58.15,77,0,3.44,NA,1728599568
365,eden,36.4885,-79.7667,65.66,55,0,0.0,US,1728599502
366,yreka,41.7354,-122.6345,75.38,35,0,5.75,US,1728599682
367,alexandria,31.2156,29.9553,74.37,73,0,2.24,EG,1728599098
368,choibalsan,48.0667,114.5,30.43,61,15,7.16,MN,1728599420
369,dryden,49.7833,-92.7503,64.69,59,75,8.05,CA,1728599686
370,robore,-18.3333,-59.75,82.49,78,100,0.0,BO,1728599687
371,labrador city,52.9463,-66.9114,39.18,87,100,12.66,CA,1728599688
372,villa de arista,22.65,-100.8333,74.89,24,14,15.37,MX,1728599689
373,zeya,53.75,127.2667,41.23,92,100,1.63,RU,1728599690
374,agadez,19.75,10.25,86.05,12,5,2.75,NE,1728599692
375,pudozh,61.8099,36.5345,41.76,88,100,11.72,RU,1728599693
376,ovruch,51.3246,28.8035,55.78,91,2,7.34,UA,1728599694
377,atbasar,51.8,68.3333,47.7,53,100,14.67,KZ,1728599696
378,parthenay,46.6667,-0.4167,50.95,95,17,5.12,FR,1728599698
379,masterton,-40.9597,175.6575,61.47,51,0,2.24,NZ,1728599700
380,upper sandusky,40.8273,-83.2813,63.09,53,0,6.42,US,1728599701
381,margate,51.3813,1.3862,47.7,72,22,1.99,GB,1728599671
382,chiplun,17.5333,73.5167,74.98,95,100,2.19,IN,1728599705
